Week,Date,Topic,Handouts,Readings,HW,Project
Week 1,23-Jan,Course Introduction / Course Resources / Using R,[Lect-01-Intro](../Notes/lect-01-intro.html),,Install [Rstudio](https://www.rstudio.com/products/rstudio/download3/) and [Go through Introduction to R](https://php-1511-2511.github.io/Introduction-to-R/),
Week 2,28-Jan,Graphing Data in R: ggplot,[Lect-02-ggplot](../Notes/lect-02-ggplot.html)  [Video](https://vimeo.com/314023798/c3b6d8849e),"[Introduction to R: Getting Started](http://statseducation.com/Introduction-to-R/modules/getting%20started/about-this-course/) [Introduction to R: Getting Data](http://statseducation.com/Introduction-to-R/modules/getting%20data/data-wrangling/), [Introduction to R: Tidy Data](http://statseducation.com/Introduction-to-R/modules/tidy%20data/tidy-data/)",,
,30-Jan,Using R to Work with Data: tidyverse,[Lect-03-transforming](../Notes/lect-03-transforming.html) [Video](https://vimeo.com/314336000/6280e1e876),[Intoduction to R: Graphics](http://statseducation.com/Introduction-to-R/modules/graphics/ggplot2/),,
,,Lab0: Rmarkdown/Dplyr/Manipulating Data in R,[Rmarkdown Tutorial](https://www.youtube.com/watch?v=MIlzQpXlJNk) [dplyr Basics ](https://www.youtube.com/watch?v=jWjqLW-u3hc&t=2s),,,
Week 3,4-Feb,Further Data Summaries,[Lect-04-further-sums](../Notes/lect-04-further-sums.html) [Video](https://vimeo.com/315580004/4398153a3d),"Fox Chap 1-3, Vittinghoff Chap 2",,
,6-Feb,Simple and Multiple Linear Regression,[Lect-05-lin-reg](../Notes/lect-05-lin-reg.html) [Video](https://vimeo.com/315711065/af1604e008),"Fox Chap 5, Vittinghoff Chaps 3.3, 4.1-4.4",[HW1 - html](../homework/hw1.html) [HW1 -Rmd](https://raw.githubusercontent.com/php-1511-2511/php-1511-2511.github.io/master/homework/hw1.Rmd) [HW1-pdf](https://raw.githubusercontent.com/php-1511-2511/php-1511-2511.github.io/master/homework/hw1.pdf),
,,,,,,
Week 4,11-Feb,Multiple Linear Regression,[Lect-06-lin-reg-2](../Notes/lect-06-lin-reg-2.html) [Video](https://vimeo.com/317332692),Fox Chap 6,,
,13-Feb,Inference for Linear Regression,[Lect-07-multiple-linear](../Notes/lect-07-multiple-linear.html) [Video](https://vimeo.com/317332719),"Fox Chap 7, Vittinghoff Chap 4.6",,
,,Lab 1: Regression,[HTML](../labs/lab1.html) [Rmd](../labs/lab1.Rmd) [Video](https://vimeo.com/254748467/7723da70df) [Solutions](../labs/lab1_sol.html),,,
Week 5,18-Feb,***No Class Long Weekend***,,,,
,20-Feb,Factors and Interactions,[Lect-08-inter-assum](../Notes/lect-08-inter-assum.html) [Video](https://vimeo.com/319581738),"Fox Chap 11, Vittinghoff Chap 4.7",,
,,Lab 2: Regression Diagnostics in R,[HTML](../labs/lab2.html) [Rmd](../labs/lab2.Rmd) [Video](https://vimeo.com/256525852/774a501d10)  [Solutions](../labs/lab2_sol.html),,,
Week 6,25-Feb,Unusual and Influential Data,[Lect-09-model-tests](../Notes/lect-09-model-tests.html) [Video](https://vimeo.com/319544308),Fox Chap 12,[HW2 - html](../homework/hw2.html) [HW2 -Rmd](https://raw.githubusercontent.com/php-1511-2511/php-1511-2511.github.io/master/homework/hw2.Rmd) [HW2-pdf](https://raw.githubusercontent.com/php-1511-2511/php-1511-2511.github.io/master/homework/hw2.pdf),
,27-Feb,Collinearity - Basic GLM,[Lect-10-collin-glm](../Notes/lect-10-collin-glm.html) [Video](https://vimeo.com/320330322),"Fox Chap 13, Vittinghoff Chap 4.8",,
,,Lab 3: Regression Diagnostics in R,[HTML](../labs/lab3.html) [Rmd](../labs/lab3.Rmd) [Video](https://vimeo.com/256525852/774a501d10)  [Solutions](../labs/lab3_sol.html),,,
Week 7,4-Mar,***SNOW DAY***,,,,
,6-Mar,GLM/Logistic Regression,[Lect-11-glm-logit](../Notes/lect-11-glm-logit.html)[Video](https://vimeo.com/322610732),Fox Chap 14,,
,,Lab 4: Logistic 1,[HTML](../labs/lab4.html) [Rmd](../labs/lab4.Rmd) [Video](https://vimeo.com/258696228/4181a70e33)  [Solutions](../labs/lab4_sol.html),,,
Week 8,11-Mar,Logistic Regression,[Lect-12-logit-2](../Notes/lect-12-logit-2.html),"Fox Chap 15, Vittinghoff Chap 5.1",,
,13-Mar,***Exam 1***,,,,
,,Lab 5: Logistic,[HTML](../labs/lab5.html) [Rmd](../labs/lab5.Rmd)   [Solutions](../labs/lab5_sol.html),,,
Week 9,18-Mar,Logistic Model Building,[Lect-13-logit-build](../Notes/lect-13-logit-build.html) [Video](https://vimeo.com/325063749),"Fox Chap 15, Vittinghoff Chap 5.4",,
,20-Mar,Diagnostics for Logistic Regression,[Lect-14-logit-test](../Notes/lect-14-logit-test.html) [Video](https://vimeo.com/325578123),"Fox Chap 15, Vittinghoff Chap 5.5-5.7",,
,,,,,,
Week 10,25-Mar,***Spring Break***,,,,
,27-Mar,***Spring Break***,,,,
,,,,,,
Week 11,1-Apr,Introduction to Log-Linear Regression,[Lect-15-poisson](../Notes/lect-15-poisson.html) [Video](https://vimeo.com/327800352) ,,[HW3 - html](../homework/hw3.html) [HW3 -Rmd](https://raw.githubusercontent.com/php-1511-2511/php-1511-2511.github.io/master/homework/hw3.Rmd) [HW3-pdf](https://raw.githubusercontent.com/php-1511-2511/php-1511-2511.github.io/master/homework/hw3.pdf),
,3-Apr,Survey Data Analysis,[Lect-16-surveys](../Notes/lect-16-surveys.html)  [Video](https://vimeo.com/331579142),,,
,,Lab 6:  Survey Data in R / Poisson Regression,[HTML](../labs/lab6.html) [Rmd](../labs/lab6.Rmd) [Video](https://vimeo.com/263953564/8a847023c5)  [Solutions](../labs/lab6_sol.html),,,
,,,,,,
Week 12,8-Apr,Survey Analysis,,,,
,10-Apr,Basics of Survival Data,[Lect-18-intro-survival](../Notes/lect-18-intro-survival.html)   [Video](https://vimeo.com/331579185),Vittinghoff Chap 6.1-6.2,,
,,,,,,
Week 13,15-Apr,Non-Parametric Survival,[Lect-19-survival-2](../Notes/lect-19-survival-2.html) [Video](https://vimeo.com/331579245),Vittinghoff Chap 6.3-6.4,[HW4 - html](../homework/hw4.html) [HW4 -Rmd](https://raw.githubusercontent.com/php-1511-2511/php-1511-2511.github.io/master/homework/hw4.Rmd),
,17-Apr,Parametric Survival,[Lect-20-survival-3](../Notes/lect-20-survival-3.html)   [Video](https://vimeo.com/331579281),Vittinghoff Chap 6.5-6.7,,
,,Lab 7: Survival Analysis,[HTML](../labs/lab7.html) [Rmd](../labs/lab7.Rmd) [Solutions](../labs/lab7-sol.Rmd) [Video](https://vimeo.com/265267538/3ab3fa6732)  [Solutions](../labs/lab7_sol.html),,,
Week 14,22-Apr,Non-Parametric Hypothesis Testing,[Lect-21-nonparametrics](../Notes/lect-21-nonparametrics.html) [Video](https://vimeo.com/332184962),Vittinghoff Chap 12,,
,24-Apr,Cross-Validation,[Lect-22-cv](../Notes/lect-22-cv.html),Vittinghoff Chap 12,,
,,Lab 8: Survival Model build,[HTML](../labs/lab8.html) [Rmd](../labs/lab8.Rmd)  ,,,
Week 15,29-Apr,Bootstrapping,[Lect-23-bootstrapping](../Notes/lect-23-bootstrap.html),Fox Chap 16-17,,
,1-May,CV Example,[Lect-24-cv-example](../Notes/lect-24-cv-example.html),"Fox Chap 20, Vittinghoff Chap 11",,
,,,,,,
Final Week,6-May,***Exam 2***,[Final Review Questions](../exams/final_review.html) [Final Review Output](../exams/final_review_output.html) [Final Review Solutions](../exams/final_review_sol.html) [Questions Asked By Students](../exams/final_exam_extra_info.html),,,
